PLAYER,NATION,POS,SQUAD,COMP,AGE,BORN,NINETIES_PLAYED,TOUCHES,TOUCHES_DEF_PEN,TOUCHES_DEF_3RD,TOUCHES_MID_3RD,TOUCHES_ATT_3RD,TOUCHES_ATT_PEN,LIVE_TOUCHES,TAKE_ONS_ATT,TAKE_ONS_SUCC,TAKE_ONS_SUCC_PCT,TAKE_ONS_TKLD,TAKE_ONS_TKLD_PCT,CARRIES,TOT_DIST,PRG_DIST,PRG_CARRIES,CARRIES_FINAL_THIRD,CARRIES_PEN_AREA,MISCONTROL,DISSPOSSESSED,PASSES_RECEIVED,PRG_PASSES_RECEIVED
Abel,ESP,DF,Osasuna,La Liga,23,2000,23.0,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92
Nabil Aberdin,FRA,MF,Getafe,La Liga,21,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2
Oliver Abildgaard,DEN,MF,Como,Serie A,28,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21,2003,30.8,878,34,75,382,438,142,877,86,35,40.7,48,55.8,587,3670,1743,75,42,42,92,65,689,169
Abner,BRA,DF,Lyon,Ligue 1,24,2000,12.1,791,40,207,361,225,22,791,12,6,50.0,6,50.0,426,1926,1239,31,16,5,14,8,513,55
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24,2000,21.1,613,6,59,196,363,113,611,53,16,30.2,35,66.0,375,1923,880,34,24,19,64,26,450,164
Abdel Abqar,MAR,DF,Alavés,La Liga,25,1999,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4
Tammy Abraham,ENG,FW,Roma,Serie A,26,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2
Tammy Abraham,ENG,FW,Milan,Serie A,26,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69
Federico Accornero,ITA,MF,Genoa,Serie A,20,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0
Francesco Acerbi,ITA,DF,Inter,Serie A,36,1988,19.0,1484,139,648,733,108,20,1484,4,3,75.0,1,25.0,915,4177,2128,19,20,1,7,2,1101,22
Joshua Acheampong,ENG,DF,Chelsea,Premier League,18,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0
Akor Adams,NGA,FW,Sevilla,La Liga,24,2000,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5
Akor Adams,NGA,FW,Montpellier,Ligue 1,24,2000,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45
Che Adams,SCO,FW,Torino,Serie A,28,1996,29.5,802,19,53,387,371,104,801,37,11,29.7,22,59.5,509,2066,702,23,18,9,63,34,630,153
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Tyler Adams,USA,MF,Bournemouth,Premier League,25,1999,21.8,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23,2001,17.2,534,21,53,252,234,80,534,29,10,34.5,18,62.1,275,1026,349,8,5,4,59,24,350,84
